"Year","Value","Range","StdDev","EarliestTrans","LatestTrans","FisheryCode","FileName","Gear","Region"
2015,38300,11000,2800,"2015-01","2015-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2014,37000,13500,3100,"2014-01","2014-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2013,32000,10000,1850,"2013-01","2013-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2012,35300,12200,2700,"2012-01","2012-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2011,32600,12500,3000,"2011-01","2011-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2010,29000,10000,1750,"2010-01","2010-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2009,34200,10000,2350,"2009-01","2009-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2008,35200,10000,1500,"2008-01","2008-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2007,36200,15000,2700,"2007-01","2007-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2006,31500,8000,2250,"2006-01","2006-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2005,27900,6000,1500,"2005-01","2005-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2004,16400,17500,5350,"2004-01","2004-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2003,12700,6000,1100,"2003-01","2003-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2002,14000,9500,1700,"2002-01","2002-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2001,13000,6000,1400,"2001-01","2001-12","S 15B","x_s15b.htm","Power Troll","Statewide"
2000,14600,5500,900,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1999,15000,8000,1200,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1998,17600,12000,1600,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1997,18100,6000,1050,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1996,20000,20000,4000,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1995,28300,15500,2150,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1994,28300,17000,3150,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1993,30700,10000,2000,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1992,34300,19000,3650,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1991,37300,13000,2500,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1990,33156,NA,NA,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1989,32758,NA,NA,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1988,29568,NA,NA,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1987,26625,NA,NA,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1986,25383,NA,NA,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1985,21530,NA,NA,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1984,19624,NA,NA,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
1982,21630,NA,NA,NA,NA,"S 15B","x_s15b.htm","Power Troll","Statewide"
2016,4100,3000,1450,"2013-04","2015-05","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2015,4100,3000,1450,"2013-04","2015-05","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2014,3900,3000,1300,"2012-06","2014-04","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2013,4000,3000,1400,"2009-09","2013-06","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2012,4800,1000,500,"2008-04","2012-06","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2011,4800,1000,500,"2006-06","2009-09","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2010,4800,1000,500,"2006-06","2009-09","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2009,4800,1000,500,"2006-06","2009-09","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2008,5000,2000,800,"2003-01","2008-05","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2007,5900,5700,2200,NA,"2006-06","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2006,5900,5700,2200,NA,"2006-06","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2005,6400,4700,2200,NA,"2003-01","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2004,6400,4700,2200,NA,"2003-01","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2003,6400,4700,2200,NA,"2003-01","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2002,6900,4700,2300,NA,"2002-07","S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2001,7700,4700,1950,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
2000,7700,4700,1950,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1999,7700,4700,1950,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1998,8700,1500,750,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1997,8900,1000,500,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1996,8900,2500,1100,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1995,6900,5000,2400,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1994,7300,6500,3050,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1993,1900,5000,2150,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1992,900,7000,2600,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1991,800,3500,1300,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1990,1667,NA,NA,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1989,2667,NA,NA,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1988,8700,NA,NA,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1987,9089,NA,NA,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1986,3500,NA,NA,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1985,1667,NA,NA,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1984,2333,NA,NA,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
1982,500,NA,NA,NA,NA,"S 08P","x_s08p.htm","Fish Wheel","Upper Yukon"
